Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "OLED_Board.brd" as of: 2016. 8. 26. 오후 3:24
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.504,0.311,270
C2,Top,0.848,1.988,180
C3,Top,3.806,1.429,0
C4,Top,1.739,0.365,270
C5,Top,0.985,0.185,0
C6,Top,0.795,1.843,180
IC1,Top,3.893,1.144,270
IC4,Top,1.172,0.400,270
R1,Top,4.102,1.948,0
R4,Top,5.665,0.696,0
R5,Top,4.201,0.374,0
U1,Top,3.051,1.449,90
